"","max_pos_Ax","min_pos_Ax","min_neg_Ax","max_neg_Ax","max_pos_Ay","min_pos_Ay","min_neg_Ay","max_neg_Ay","max_pos_Az","min_pos_Az","min_neg_Az","max_neg_Az","model"
"1",75.555157,0.000526,-0.000278,-63.069869,73.623977,0.00087,-0.002877,-73.290321,76.667787,0.002051,-0.000268,-67.799656,"LSM303"
"2",20.446447,2.7e-05,-1.1e-05,-19.059452,19.709457,3.3e-05,-2e-05,-19.733206,20.234005,1e-06,-4.7e-05,-19.341781,"LSM9DS0"
"3",20.446447,0.000526,-0.000278,-19.059452,19.709457,0.00087,-0.002877,-19.733206,20.234005,0.002051,-0.000268,-19.341781,"Check"
